encoder,classificador,teste,batch,n_models,combination,fusion_method,value
PKLot,camera1,camera1,64,3,"(0, 2, 8)",mult,0.9331131296449215
PKLot,camera1,camera1,64,3,"(0, 2, 8)",vote,0.9321222130470685
PKLot,camera1,camera1,64,3,"(0, 2, 9)",sum,0.9232039636663915
PKLot,camera1,camera1,64,3,"(0, 2, 9)",mean_probs,0.9232039636663915
PKLot,camera1,camera1,64,3,"(0, 2, 9)",max,0.9213872832369943
PKLot,camera1,camera1,64,3,"(0, 2, 9)",mult,0.9233691164327003
PKLot,camera1,camera1,64,3,"(0, 2, 9)",vote,0.9228736581337738
PKLot,camera1,camera1,64,3,"(0, 3, 4)",sum,0.9162675474814204
PKLot,camera1,camera1,64,3,"(0, 3, 4)",mean_probs,0.9162675474814204
PKLot,camera1,camera1,64,3,"(0, 3, 4)",max,0.9149463253509497
PKLot,camera1,camera1,64,3,"(0, 3, 4)",mult,0.9159372419488027
PKLot,camera1,camera1,64,3,"(0, 3, 4)",vote,0.9179190751445087
PKLot,camera1,camera1,64,3,"(0, 3, 5)",sum,0.9218827415359208
PKLot,camera1,camera1,64,3,"(0, 3, 5)",mean_probs,0.9218827415359208
PKLot,camera1,camera1,64,3,"(0, 3, 5)",max,0.9200660611065236
PKLot,camera1,camera1,64,3,"(0, 3, 5)",mult,0.9217175887696119
PKLot,camera1,camera1,64,3,"(0, 3, 5)",vote,0.9210569777043766
PKLot,camera1,camera1,64,3,"(0, 3, 6)",sum,0.9137902559867878
PKLot,camera1,camera1,64,3,"(0, 3, 6)",mean_probs,0.9137902559867878
PKLot,camera1,camera1,64,3,"(0, 3, 6)",max,0.9154417836498762
PKLot,camera1,camera1,64,3,"(0, 3, 6)",mult,0.9137902559867878
PKLot,camera1,camera1,64,3,"(0, 3, 6)",vote,0.911643270024773
PKLot,camera1,camera1,64,3,"(0, 3, 7)",sum,0.9350949628406275
PKLot,camera1,camera1,64,3,"(0, 3, 7)",mean_probs,0.9350949628406275
PKLot,camera1,camera1,64,3,"(0, 3, 7)",max,0.9344343517753922
PKLot,camera1,camera1,64,3,"(0, 3, 7)",mult,0.9360858794384805
PKLot,camera1,camera1,64,3,"(0, 3, 7)",vote,0.9349298100743187
PKLot,camera1,camera1,64,3,"(0, 3, 8)",sum,0.9279933938893477
PKLot,camera1,camera1,64,3,"(0, 3, 8)",mean_probs,0.9279933938893477
PKLot,camera1,camera1,64,3,"(0, 3, 8)",max,0.9255161023947152
PKLot,camera1,camera1,64,3,"(0, 3, 8)",mult,0.9281585466556564
PKLot,camera1,camera1,64,3,"(0, 3, 8)",vote,0.9289843104872006
PKLot,camera1,camera1,64,3,"(0, 3, 9)",sum,0.9113129644921553
PKLot,camera1,camera1,64,3,"(0, 3, 9)",mean_probs,0.9113129644921553
PKLot,camera1,camera1,64,3,"(0, 3, 9)",max,0.9124690338563171
PKLot,camera1,camera1,64,3,"(0, 3, 9)",mult,0.9119735755573906
PKLot,camera1,camera1,64,3,"(0, 3, 9)",vote,0.9118084227910818
PKLot,camera1,camera1,64,3,"(0, 4, 5)",sum,0.9184145334434352
PKLot,camera1,camera1,64,3,"(0, 4, 5)",mean_probs,0.9184145334434352
PKLot,camera1,camera1,64,3,"(0, 4, 5)",max,0.9197357555739059
PKLot,camera1,camera1,64,3,"(0, 4, 5)",mult,0.9194054500412882
PKLot,camera1,camera1,64,3,"(0, 4, 5)",vote,0.9170933113129645
PKLot,camera1,camera1,64,3,"(0, 4, 6)",sum,0.9141205615194055
PKLot,camera1,camera1,64,3,"(0, 4, 6)",mean_probs,0.9141205615194055
PKLot,camera1,camera1,64,3,"(0, 4, 6)",max,0.9161023947151115
PKLot,camera1,camera1,64,3,"(0, 4, 6)",mult,0.9154417836498762
PKLot,camera1,camera1,64,3,"(0, 4, 6)",vote,0.912634186622626
PKLot,camera1,camera1,64,3,"(0, 4, 7)",sum,0.9332782824112303
PKLot,camera1,camera1,64,3,"(0, 4, 7)",mean_probs,0.9332782824112303
PKLot,camera1,camera1,64,3,"(0, 4, 7)",max,0.9344343517753922
PKLot,camera1,camera1,64,3,"(0, 4, 7)",mult,0.9339388934764657
PKLot,camera1,camera1,64,3,"(0, 4, 7)",vote,0.9319570602807598
PKLot,camera1,camera1,64,3,"(0, 4, 8)",sum,0.9253509496284062
PKLot,camera1,camera1,64,3,"(0, 4, 8)",mean_probs,0.9253509496284062
PKLot,camera1,camera1,64,3,"(0, 4, 8)",max,0.9253509496284062
PKLot,camera1,camera1,64,3,"(0, 4, 8)",mult,0.9263418662262592
PKLot,camera1,camera1,64,3,"(0, 4, 8)",vote,0.925681255161024
PKLot,camera1,camera1,64,3,"(0, 4, 9)",sum,0.9010734929810075
PKLot,camera1,camera1,64,3,"(0, 4, 9)",mean_probs,0.9010734929810075
PKLot,camera1,camera1,64,3,"(0, 4, 9)",max,0.9159372419488027
PKLot,camera1,camera1,64,3,"(0, 4, 9)",mult,0.9071841453344344
PKLot,camera1,camera1,64,3,"(0, 4, 9)",vote,0.8919900908340215
PKLot,camera1,camera1,64,3,"(0, 5, 6)",sum,0.9208918249380678
PKLot,camera1,camera1,64,3,"(0, 5, 6)",mean_probs,0.9208918249380678
PKLot,camera1,camera1,64,3,"(0, 5, 6)",max,0.9210569777043766
PKLot,camera1,camera1,64,3,"(0, 5, 6)",mult,0.9213872832369943
PKLot,camera1,camera1,64,3,"(0, 5, 6)",vote,0.9170933113129645
